element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Li,2,"=""200.9""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Be,3,"=""""","=""""","=""206.449""","=""0.014""","=""""","=""2.4214e+07""",AAA,"=""[1131472.0]""","=""[1179894.7]""","=""1s.3d""","=""1D""","=""2""","=""1s.4p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""206.8""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Be,3,"=""207.694""","=""""","=""207.696""","=""0.006""","=""75w*""","=""1.1197e+09""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""3""","=""1s.4f""","=""3F*""","=""4""",,"=""T8636c73""","=""L2683""",
Be,3,"=""207.694""","=""""","=""207.696""","=""0.006""","=""75w*""","=""8.5649e+07""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""3""","=""1s.4f""","=""3F*""","=""3""",,"=""T8636c73""","=""L2683""",
Be,3,"=""207.694""","=""""","=""207.696""","=""0.006""","=""75w*""","=""7.1380e+08""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""2""","=""1s.4f""","=""3F*""","=""3""",,"=""T8636c73""","=""L2683""",
Be,3,"=""207.694""","=""""","=""207.696""","=""0.006""","=""75w*""","=""4.9767e+06""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""3""","=""1s.4f""","=""3F*""","=""2""",,"=""T8636c73""","=""L2683""",
Be,3,"=""207.694""","=""""","=""207.696""","=""0.006""","=""75w*""","=""1.7403e+08""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""2""","=""1s.4f""","=""3F*""","=""2""",,"=""T8636c73""","=""L2683""",
Be,3,"=""207.694""","=""""","=""207.696""","=""0.006""","=""75w*""","=""9.4058e+08""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""1""","=""1s.4f""","=""3F*""","=""2""",,"=""T8636c73""","=""L2683""",
Be,3,"=""""","=""""","=""207.696""","=""0.006""","=""""","=""3.8767e+07""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""3""","=""1s.4f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""207.696""","=""0.006""","=""""","=""2.8163e+08""",AAA,"=""[1131394.1]""","=""[1179526.10]""","=""1s.3d""","=""3D""","=""2""","=""1s.4f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""208.038""","=""""","=""208.033""","=""0.006""","=""60w""","=""7.9805e+08""",AAA,"=""[1131472.0]""","=""[1179526.10]""","=""1s.3d""","=""1D""","=""2""","=""1s.4f""","=""1F*""","=""3""",,"=""T8636c73""","=""L2683""",
Be,3,"=""""","=""""","=""208.033""","=""0.006""","=""""","=""3.1990e+08""",AAA,"=""[1131472.0]""","=""[1179526.10]""","=""1s.3d""","=""1D""","=""2""","=""1s.4f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""208.033""","=""0.006""","=""""","=""1.5117e+05""",AAA,"=""[1131472.0]""","=""[1179526.10]""","=""1s.3d""","=""1D""","=""2""","=""1s.4f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""210.509""","=""0.014""","=""""","=""1.8344e+03""",AAA,"=""[1132405.8]""","=""[1179894.7]""","=""1s.3p""","=""1P*""","=""1""","=""1s.4p""","=""1P*""","=""1""",E2,"=""T7378""","=""""",
Be,3,"=""211.856""","=""""","=""""","=""""","=""25""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1653""",
Be,3,"=""212.227""","=""""","=""212.222""","=""0.005""","=""15w""","=""5.7407e+08""",AAA,"=""[1132405.8]""","=""[1179511.40]""","=""1s.3p""","=""1P*""","=""1""","=""1s.4d""","=""1D""","=""2""",,"=""T8636c73""","=""L2683""",
Be,3,"=""""","=""""","=""212.421""","=""0.005""","=""""","=""2.5574e+05""",AAA,"=""[1132405.8]""","=""[1179467.30]""","=""1s.3p""","=""1P*""","=""1""","=""1s.4d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""212.720""","=""""","=""212.717""","=""0.005""","=""15w*""","=""1.6162e+08""",AAA,"=""[1128315.30]""","=""[1175311.20]""","=""1s.3p""","=""3P*""","=""2""","=""1s.4s""","=""3S""","=""1""",,"=""T8636c73""","=""L2683""",
Be,3,"=""212.720""","=""""","=""212.717""","=""0.005""","=""15w*""","=""9.6972e+07""",AAA,"=""[1128315.30]""","=""[1175311.20]""","=""1s.3p""","=""3P*""","=""1""","=""1s.4s""","=""3S""","=""1""",,"=""T8636c73""","=""L2683""",
Be,3,"=""212.720""","=""""","=""212.717""","=""0.005""","=""15w*""","=""3.2325e+07""",AAA,"=""[1128315.30]""","=""[1175311.20]""","=""1s.3p""","=""3P*""","=""0""","=""1s.4s""","=""3S""","=""1""",,"=""T8636c73""","=""L2683""",
Li,2,"=""213.1""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Be,3,"=""""","=""""","=""213.632""","=""0.005""","=""""","=""3.5945e+07""",AAA,"=""[1131394.1]""","=""[1178188.90]""","=""1s.3d""","=""3D""","=""3""","=""1s.4p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
